"members","Members"
"members_install_failed","Members Plugin konnte nicht installiert werden."
"members_install_successfully","Members Plugin wurde erfolgreich installiert."
"members_uninstalled_successfully","Members Plugin wurde erfolgreich deinstalliert."
"members_uninstall_failed","Members Plugin konnte nicht deinstalliert werden."
"members_user_group_multiselect","Benutzergruppe"
"members_restriction","Zugriffsrechte"
"members_enable_document_restriction","Zugriffsrechte für Dokument bzw. Objekt aktivieren."
"members_enable_document_inheritable","Zugriffsrechte auf Kinderelemente übertragen."
"members_allowed_user_groups","Erlaubte Benutzergruppen"
"members_allowed_user_groups_description","Nur eingeloggte Benutzer, welche den zugewiesenen Gruppen zugeteilt sind, haben Zugang zu diesem Dokument/Objekt."
"members_unlock_inheritable_description","Vererbte Zugriffsrechte auflösen."
"members_unlock_inherit","Vererbung auflösen"
